ID,Brand,City,Avg_Competitor_Distance_km,Competition_Index
1,ОККО,Хмельницький,1.102,0.9839888415883301
2,ОККО,Хмельницький,0.8,0.9883766545105845
3,ОККО,Хмельницький,0.996,0.9855289348656777
4,ОККО,Хмельницький,1.011,0.9853109971377512
5,ОККО,Хмельницький,0.518,0.9924738837956034
6,ОККО,Хмельницький,1.761,0.9744141107414241
7,ОККО,Хмельницький,0.67,0.9902654481526145
8,WOG,Хмельницький,1.267,0.9815915265811382
9,WOG,Хмельницький,0.406,0.9941011521641216
10,WOG,Хмельницький,1.365,0.9801676667586848
11,WOG,Хмельницький,1.441,0.9790634489371903
12,WOG,Хмельницький,4.868,0.9292719426969067
13,WOG,Хмельницький,1.071,0.9844392462260451
14,UPG,Хмельницький,0.721,0.9895244598776642
15,Shell,Хмельницький,0.387,0.9943772066194952
16,Shell,Хмельницький,0.899,0.9869382655062693
17,Shell,Хмельницький,0.729,0.9894082264227702
18,БРСМ-Нафта,Хмельницький,1.659,0.9758960872913246
19,БРСМ-Нафта,Хмельницький,0.235,0.9965856422624843
20,БРСМ-Нафта,Хмельницький,0.753,0.9890595260580877
21,Avantage 7,Хмельницький,1.217,0.9823179856742267
22,Avantage 7,Хмельницький,7.376,0.8928327545875892
23,Укрнафта,Хмельницький,0.293,0.9957429497145016
24,Укрнафта,Хмельницький,1.986,0.9711450448225261
25,Укрнафта,Хмельницький,1.136,0.98349484940503
26,Укрнафта,Хмельницький,0.942,0.9863135106862133
27,Укрнафта,Хмельницький,1.039,0.9849041800456216
28,Укрнафта,Хмельницький,0.596,0.9913406076103854
29,ОККО,Кам'янець-Подільський,0.943,0.9862989815043515
30,ОККО,Кам'янець-Подільський,1.254,0.9817804059453412
31,WOG,Кам'янець-Подільський,1.269,0.9815624682174147
32,UPG,Кам'янець-Подільський,0.794,0.9884638296017552
33,Shell,Кам'янець-Подільський,5.362,0.9220945268571926
34,БРСМ-Нафта,Кам'янець-Подільський,0.939,0.9863570982317986
35,SOCAR,Кам'янець-Подільський,2.793,0.9594199950600781
36,Avantage 7,Кам'янець-Подільський,38.922,0.43449518357621286
37,Укрнафта,Кам'янець-Подільський,1.313,0.9809231842154968
38,Укрнафта,Шепетівка,53.131,0.22805003850233196
39,ОККО,Нетішин,68.827,0.0
40,WOG,Старокостянтинів,36.29,0.4727359902363898
